DN,objectClass,sAMAccountName,cn,userPrincipalName,givenName,sn,userAccountControl,groupType,member
"CN=Accounting User 1,CN=Users,DC=widgetllc,DC=internal",user,accounting.user.1,Accounting User 1,accounting.user.1@widgetllc.internal,Accounting,User 1,514,,
"CN=Accounting User 2,CN=Users,DC=widgetllc,DC=internal",user,accounting.user.2,Accounting User 2,accounting.user.2@widgetllc.internal,Accounting,User 2,514,,
"CN=Executive User 1,CN=Users,DC=widgetllc,DC=internal",user,executive.user.1,Executive User 1,executive.user.1@widgetllc.internal,Executive,User 1,514,,
"CN=Executive User 2,CN=Users,DC=widgetllc,DC=internal",user,executive.user.2,Executive User 2,executive.user.2@widgetllc.internal,Executive,User 2,514,,
"CN=Operations User 1,CN=Users,DC=widgetllc,DC=internal",user,operations.user.1,Operations User 1,operations.user.1@widgetllc.internal,Operations,User 1,514,,
"CN=Operations User 2,CN=Users,DC=widgetllc,DC=internal",user,operations.user.2,Operations User 2,operations.user.2@widgetllc.internal,Operations,User 2,514,,
"CN=Accounting01,CN=Computers,DC=widgetllc,DC=internal",computer,Accounting01$,Accounting01,,,,,,
"CN=Accounting02,CN=Computers,DC=widgetllc,DC=internal",computer,Accounting02$,Accounting02,,,,,,
"CN=Executive01,CN=Computers,DC=widgetllc,DC=internal",computer,Executive01$,Executive01,,,,,,
"CN=Executive02,CN=Computers,DC=widgetllc,DC=internal",computer,Executive02$,Executive02,,,,,,
"CN=Operations01,CN=Computers,DC=widgetllc,DC=internal",computer,Operations01$,Operations01,,,,,,
"CN=Operations02,CN=Computers,DC=widgetllc,DC=internal",computer,Operations02$,Operations02,,,,,,
"CN=Accounting Users,CN=Users,DC=widgetllc,DC=internal",group,Accounting Users,Accounting Users,,,,,-2147483646,
"CN=Accounting Computers,CN=Users,DC=widgetllc,DC=internal",group,Accounting Computers,Accounting Computers,,,,,-2147483646,
"CN=Executive Users,CN=Users,DC=widgetllc,DC=internal",group,Executive Users,Executive Users,,,,,-2147483646,
"CN=Executive Computers,CN=Users,DC=widgetllc,DC=internal",group,Executive Computers,Executive Computers,,,,,-2147483646,
"CN=Operations Users,CN=Users,DC=widgetllc,DC=internal",group,Operations Users,Operations Users,,,,,-2147483646,
"CN=Operations Computers,CN=Users,DC=widgetllc,DC=internal",group,Operations Computers,Operations Computers,,,,,-2147483646,
